Prenom;Nom;Email;Pseudo;Mdp;Statut;pp;filiere
Philippine;Normand;PhilippineNormand@cy-tech.fr;PhilippineNormand;$2y$10$mk1s74jlqwUBvZe8iwyKpuC8w7/CKgxJWhMBotd1DYpJ1cpYvuf6u;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Luc;Dufour-Gallet;LucDufour-Gallet@cy-tech.fr;LucDufour-Gallet;$2y$10$UxGBuWKJoliwscdUvsgRROM39EXXXDD2Js2oIE8ukky0WL5cDozYG;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Corinne;Gros;CorinneGros@cy-tech.fr;CorinneGros;$2y$10$z6ZP1cfykY.MQ/241TlgF.P2L31rDOxcHIugGQEneB7o.FBjm9flK;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Isabelle;Dijoux;IsabelleDijoux@cy-tech.fr;IsabelleDijoux;$2y$10$2ibPtqCuZMNDs7BRkPSMTOf/MrGZKF4vcJeR8GQre0zOpH0jNhOeG;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Dominique;Gaillard;DominiqueGaillard@cy-tech.fr;DominiqueGaillard;$2y$10$XdxNcXK7NLLI4rPnSI.OPu6uZAC3zESzHaozCzyx74dvfS10Qip3O;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Pénélope;Ribeiro;PénélopeRibeiro@cy-tech.fr;PénélopeRibeiro;$2y$10$vKalZeqr5tUQ7gv5utMd0eiJEQknSNGOBTdp1UV0qD4B4jDjsW89m;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Zacharie;Marchal;ZacharieMarchal@cy-tech.fr;ZacharieMarchal;$2y$10$knDNPeM0xLOD12oCFdwUOe37A7MX7/xe0IIYtrC./N7KgSvWUVCMK;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Marc;Guillou;MarcGuillou@cy-tech.fr;MarcGuillou;$2y$10$nhUsjuYPuMJUan9Z63GcQ.YCXAEHoEqhgUyB500hBuR3jAi7B2bRS;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Benjamin;Masson;BenjaminMasson@cy-tech.fr;BenjaminMasson;$2y$10$2rSwm/rM.hBw5qBAlym2..SaRE5bXR0N0dTFNSVEx5paR/b/245Py;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Georges;Bonnet;GeorgesBonnet@cy-tech.fr;GeorgesBonnet;$2y$10$90mAjPkWdlDtfLnPMHcXLuvvT5Gpwi.3q0IQBE7wHhLmXY4j6CJF6;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Jérôme;Foucher;JérômeFoucher@cy-tech.fr;JérômeFoucher;$2y$10$KDhvLdmRfdsExcDEzC7vz.2oyCn3zKhN1EygGnQe6.V18vg7O0wv2;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Emmanuelle;Faure;EmmanuelleFaure@cy-tech.fr;EmmanuelleFaure;$2y$10$XSMqtN5Xu56Fr3sIqq2GPeTI4ylzTVLRVaii2toKPYJpJXIQ7t7B.;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
David;Louis;DavidLouis@cy-tech.fr;DavidLouis;$2y$10$Dz/xZ2Cxq8..OBoRvMTju.RKq5QB.hdiVXIG5YSgjEac3Z2CkNZ.e;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Andrée;Rocher;AndréeRocher@cy-tech.fr;AndréeRocher;$2y$10$82pyLhMrfFrj0OQgGIGtNePIXAZ3AWWTDpRdEkfQi9p472vDE00W6;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Gérard;Guerin;GérardGuerin@cy-tech.fr;GérardGuerin;$2y$10$vmb2vm/65UeM/xprYyXZZ.TqxfB7Vl/kZpcAVjjAbd7QPZs0CVgtK;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Caroline;Bailly;CarolineBailly@cy-tech.fr;CarolineBailly;$2y$10$1LE65YNEJdq7vfTkHmueNOjriLdWbxiQWG/4fGDr4Q80zo733jJHK;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Christelle;Lucas;ChristelleLucas@cy-tech.fr;ChristelleLucas;$2y$10$BfZC52IwRsFq5wR.Vrk1IugfmLpSXDybyUpcmYFN.MospzfgQHJ0K;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Hugues;Morel;HuguesMorel@cy-tech.fr;HuguesMorel;$2y$10$IAh46mkjDXFSuf.En8wNA.PVaKbjAaAls6I2lDF4oKr0HE6ZVYrCy;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Thibault-Charles;Blanc;Thibault-CharlesBlanc@cy-tech.fr;Thibault-CharlesBlanc;$2y$10$083wu18VzjBnU1N0TbNwcu5kj9bgrTgkTCahQgQAUCQtYR5dUEjOe;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Étienne-Gilbert;Allard;Étienne-GilbertAllard@cy-tech.fr;Étienne-GilbertAllard;$2y$10$e6q7W6j6vQXp2Ifl/8gAoeVsHzqHcx3wOEi7P6H165je3UhOI9Dta;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Zacharie;Bernard;ZacharieBernard@cy-tech.fr;ZacharieBernard;$2y$10$N3g/5LjyQcT09u3K6cUMLuby0lJ4Mfyxqn0vvjGuVIz91L3IEh3bG;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
daisy;Lopez;daisyLopez@cy-tech.fr;daisyLopez;$2y$10$4mzKKqXkWbLOB474dPjrwOeF1nB2UzREk8ca.Xy8PAFeAIzmq8JtO;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Émile-Olivier;Legendre;Émile-OlivierLegendre@cy-tech.fr;Émile-OlivierLegendre;$2y$10$C5/mOK/cI04DJbeiJAz1S.pDTG81W2poX/jicc0.bKT0fgmp1ortq;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Claire;Leclerc;ClaireLeclerc@cy-tech.fr;ClaireLeclerc;$2y$10$fiMtIsFbOJGfs/UCdVUDFeqL5ghCbC2IR9s.JDtw3CYi/KEkRMFYO;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Raymond;Bonnet;RaymondBonnet@cy-tech.fr;RaymondBonnet;$2y$10$Sylux2qJ7YuF1Hji.VQbS.ZI.X6WZ/M5udg2TX8Ps6FaqyqswmddG;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Clémence;Leblanc;ClémenceLeblanc@cy-tech.fr;ClémenceLeblanc;$2y$10$moL3oJOSEUxyn895wptyTOdn.rgm371b09nnRHGadB6qaEbDjuVjS;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Gilbert;Marin;GilbertMarin@cy-tech.fr;GilbertMarin;$2y$10$3TPVHxBQMGcan1Ze0yDwMOdJiJaG0KT/DHp0NcEBt09KfROT8I8Lm;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Noémi;Humbert-Barbe;NoémiHumbert-Barbe@cy-tech.fr;NoémiHumbert-Barbe;$2y$10$lzn4J377W0B6rQEYr1kVouqo4yPwX4D.NUZhAj7ccG75u9SGljvTO;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Étienne;de;Étiennede@cy-tech.fr;Étiennede;$2y$10$JjWm7s8S7SuxYGK0kzrLDer5vcId3Y6oH6PTWXzewx3L3HkLmpsOK;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Philippine;de;Philippinede@cy-tech.fr;Philippinede;$2y$10$e7mWClGY5Q439ft6lXLIP.m1YaNJ2E66id1F5BENEP172Ja2FiB3i;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Juliette;Thibault;JulietteThibault@cy-tech.fr;JulietteThibault;$2y$10$T.n8RlcbT47YcK9.YFlumOs/t6.5OoefSrvfCQ/RMGr6cHSOHi2fm;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
François;de;Françoisde@cy-tech.fr;Françoisde;$2y$10$qHoo3FT3p0edgt8ZAAf48OkGdezK2K5nkrI36FqPjoSZKeYOeeUH2;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Léon;du;Léondu@cy-tech.fr;Léondu;$2y$10$cdrvoY3.dVsbmdOZ1f0PEeilUSMR9X1Vt8lschs.udD0UZEEBiBHi;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Maurice;Alves;MauriceAlves@cy-tech.fr;MauriceAlves;$2y$10$ELUJ1e5or99Xx7QoKAVQj.yJ18lFbVT9iZ7YwNkD0wadcMAO2.3g6;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Marie;Blanc;MarieBlanc@cy-tech.fr;MarieBlanc;$2y$10$Ymw1fgJQKnyHjAftKL93BO0tV.HzXaF7OU2hY0BpSk/FcI39EmsxK;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Denise-Alexandrie;Clement;Denise-AlexandrieClement@cy-tech.fr;Denise-AlexandrieClement;$2y$10$dPPqfmrQNT.Je8ulBkcvDOatuCUULIEpI5XCsPmyeMndLDNjDmvca;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Luc;Ribeiro;LucRibeiro@cy-tech.fr;LucRibeiro;$2y$10$3eSb03HyvVqmA31rMwgn5.KY9pQYlJUjM/Yuht70HIZ7h0N/Ug0W6;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Charlotte;du;Charlottedu@cy-tech.fr;Charlottedu;$2y$10$zbWM37KrMbFM1XriuqNX8OPi.EVbkvU/.XOHw97yKnX49/6ttvhcC;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Michèle;du;Michèledu@cy-tech.fr;Michèledu;$2y$10$JAAttH2Th8ptCzaS8NWfMu1mm1YuwmXiCvbVubPl7N0BG64tZxZYi;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Hortense;Maillet;HortenseMaillet@cy-tech.fr;HortenseMaillet;$2y$10$SxTrBVEYdMyiijMcZ10zBupE/x3f7mrMXVxZkjYVPKzD/osfFjp.C;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Françoise;Chauveau;FrançoiseChauveau@cy-tech.fr;FrançoiseChauveau;$2y$10$.afomTC2QM485RwtvGRh2evPDBBsBSM19JJYXrbz38P.f5AAZJAau;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Jeanne;Le;JeanneLe@cy-tech.fr;JeanneLe;$2y$10$U.SfssRIox2xLnTo0MeWxuAo1cAsNfICKDJcPdlNOdGPiq1lyX5Mi;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Louis;Giraud;LouisGiraud@cy-tech.fr;LouisGiraud;$2y$10$DPx9rZQQknkoKan51NdmMegzw4BE.MNYBz56eGH4ts/4TaV.Uy70.;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Hugues;Lemaire;HuguesLemaire@cy-tech.fr;HuguesLemaire;$2y$10$32ORoQAbJAp1PVsK71hNleYApFD5XaR4jyc4lUpM.JCmK87lyZLYu;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Yves;Roy-Perret;YvesRoy-Perret@cy-tech.fr;YvesRoy-Perret;$2y$10$7adjSX9kQunolZYGE1E89e/QEAzZ5OXYjIBypC43HoP4UYvPprHt2;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Isaac;Riou;IsaacRiou@cy-tech.fr;IsaacRiou;$2y$10$qZ6z7DNITirxT3tF.odNEuBaCP08hITNzBGkokF5Af/s9HqpSh286;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Daniel;Mace-Carre;DanielMace-Carre@cy-tech.fr;DanielMace-Carre;$2y$10$wsQzDC5dmhpsttG0G7afquxtOixelMH2tnBiDMXerYwCQzy89BrPi;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Laurence;Normand;LaurenceNormand@cy-tech.fr;LaurenceNormand;$2y$10$eYkUfFlyn1VXJVn5srXKIeH0kqVyzK2pIyez1Hu2VSfRKvnvEwi3K;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Antoine;Etienne;AntoineEtienne@cy-tech.fr;AntoineEtienne;$2y$10$v/8GmNsrkl4skEO/k8qZneXv7lUguI8uTjN5Fp/2kRyH..pEoABre;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Éric;Le;ÉricLe@cy-tech.fr;ÉricLe;$2y$10$B81Wv7osir3OnpKNhSDnXe0u3SSEa1fyEFA0qHDeSTEqz8oxudXGq;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Lucas;Rolland;LucasRolland@cy-tech.fr;LucasRolland;$2y$10$MB6okvdSp2FCsZ.WEK5j2.8czkykjA7i.S7BhlUIk1FL6J0oyijKa;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Frédérique;Barre-Vallee;FrédériqueBarre-Vallee@cy-tech.fr;FrédériqueBarre-Vallee;$2y$10$mh3Vf9uGDvTyP5drDSjoo.07KbnbC1wCys6Tq1xYwNKluBZ/Mrxby;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Laurence;Bailly;LaurenceBailly@cy-tech.fr;LaurenceBailly;$2y$10$TRxXxNkYhjbIgJoaCdgIAuV3staHaTZmrXf4t0RWKZwj0iQkFuOy2;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Noémi;Evrard;NoémiEvrard@cy-tech.fr;NoémiEvrard;$2y$10$aBhOduNc4Mj3wpfPt1JfveBcYwb4HOwqecET5XGPp6Ufgrj7FAkym;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Thibault;Faivre;ThibaultFaivre@cy-tech.fr;ThibaultFaivre;$2y$10$E.UX1BWiAdPjZZWIfD7YZuWKzJzB5CLzf1KV8XA/QYew3TLs/D3Cy;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Suzanne;de;Suzannede@cy-tech.fr;Suzannede;$2y$10$Ut2wXJ2iE4dG42l2vml1p.TbjYEMdMcL560XTWhlw87FZpmDR1k1u;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Eugène;Dumas;EugèneDumas@cy-tech.fr;EugèneDumas;$2y$10$CM/efOVo5MDQQg5483fak.2Pr99xTMprLGUj90yHzCFdnTZPaAKeu;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Michelle;Vidal;MichelleVidal@cy-tech.fr;MichelleVidal;$2y$10$LsNwcwUGZHQaBMMWLXcgj.ZH3HWv5i6X3iQBviRjNUYjZm4sHnCM2;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
René;Gomez;RenéGomez@cy-tech.fr;RenéGomez;$2y$10$YnitTrHT4cQBiCpSkQugGOjDM3TXBO1GIYkC0pmeHROIk3K2vWCKW;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Denise;Lebreton;DeniseLebreton@cy-tech.fr;DeniseLebreton;$2y$10$UxZEC50vWMFYZSTgfDpFPu2pwVxScl4iyi.z9O35oZLG8fbe./BDi;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
David;Godard-Clerc;DavidGodard-Clerc@cy-tech.fr;DavidGodard-Clerc;$2y$10$2i59kYalmt833fVscAU9Hudz8Kp2jYonNUoBWId6I.YnrNSnDaEdm;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
François;Leroux;FrançoisLeroux@cy-tech.fr;FrançoisLeroux;$2y$10$qVWLR/I67PNYaYxK820/C.2jYLh/7l30bNhn1YXDD.vxj0ifQH.Wm;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Célina;Cordier;CélinaCordier@cy-tech.fr;CélinaCordier;$2y$10$bwjKzT3Enh9ODGa57y5qsuia4Ob36BLBpNFkX7ifyCeCCfPzcccY2;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
